date,confirmed_cases
2022-02-22,189565
2022-02-23,198478
2022-02-24,207599
2022-02-25,217932
2022-02-26,292792
2022-02-27,344032
2022-02-28,400569
2022-03-01,456582
2022-03-02,533295
2022-03-03,610697
2022-03-04,683791
2022-03-05,751844
2022-03-06,792163
2022-03-07,829306
2022-03-08,868818
2022-03-09,899945
2022-03-10,932696
2022-03-11,963302
2022-03-12,992569
2022-03-13,1028437
2022-03-14,1057573
2022-03-15,1090400
2022-03-16,1123895
2022-03-17,1147435
2022-03-18,1171570
2022-03-19,1193563
2022-03-20,1210422
2022-03-21,1228883
2022-03-22,1249958
2022-03-23,1266606
2022-03-24,1283788
2022-03-25,1299036
2022-03-26,1313471
2022-03-27,1327092
2022-03-28,1340972
2022-03-29,1355883
2022-03-30,1371807
2022-03-31,1385495
2022-04-01,1400358
2022-04-02,1414142
2022-04-03,1430893
2022-04-04,1446956
2022-04-05,1466859
2022-04-06,1490014
2022-04-07,1515913
2022-04-08,1541981
2022-04-09,1569185
2022-04-10,1597094
2022-04-11,1626085
2022-04-12,1652078
2022-04-13,1682737
2022-04-14,1713300
2022-04-15,1738527
2022-04-16,1762757
2022-04-17,1787635
2022-04-18,1811382
2022-04-19,1832597
2022-04-20,1849430
2022-04-21,1869000
2022-04-22,1888027
2022-04-23,1911669
2022-04-24,1933414
2022-04-25,1953258
2022-04-26,1970377
2022-04-27,1983788
2022-04-28,1994593
2022-04-29,2005524
2022-04-30,2015624
2022-05-01,2024284
2022-05-02,2031342
2022-05-03,2037518
2022-05-04,2043178
2022-05-05,2048423
2022-05-06,2053250
2022-05-07,2057995
2022-05-08,2062668
2022-05-09,2066938
2022-05-10,2070480
